Название,Цена,Наличие,Ссылка
"Відеокарта Asus PCI-Ex GeForce GT 710 2GB GDDR5 (64bit) (954/5012) (VGA, DVI-D, HDMI) (GT710-SL-2GD5-BRK-EVO)",2 449₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-gt710-sl-2gd5-brk-evo/p439959914/
"Відеокарта ASUS PCI-Ex GeForce RTX 5070 PRIME OC Edition 12GB GDDR7 (192bit) (2587/28000) (HDMI, 3 x DisplayPort) (PRIME-RTX5070-O12G)",33 929₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-prime-rtx5070-o12g/p490012654/
"Відеокарта ASUS PCI-Ex GeForce RTX 4060 Dual EVO White OC Edition 8GB GDDR6 (128bit) (2535/17000) (1 x HDMI, 3 x DisplayPort) (DUAL-RTX4060-O8G-EVO-WHITE)",15 409₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-dual-rtx4060-o8g-evo-white/p459124944/
"Відеокарта ASUS PCI-Ex GeForce RTX 4060 Ti Dual EVO White OC Edition 8GB GDDR6 (128bit) (2595/18000) (1 x HDMI, 3 x DisplayPort) (DUAL-RTX4060TI-O8G-EVO-WHITE)",,Є в наявності,https://hard.rozetka.com.ua/ua/asus-dual-rtx4060ti-o8g-evo-white/p452550794/
"Відеокарта ASUS PCI-Ex GeForce RTX 5060 Ti PRIME 16GB GDDR7 (128bit) (2602/28000) (HDMI, 3 x DisplayPort) (PRIME-RTX5060TI-16G)",27 299₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-prime-rtx5060ti-16g/p502452689/
"Відеокарта ASUS PCI-Ex GeForce RTX 5080 TUF Gaming OC Edition 16GB GDDR7 (256bit) (2 x HDMI, 3 x DisplayPort) (TUF-RTX5080-O16G-GAMING)",69 269₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-tuf-rtx5080-o16g-gaming/p471414769/
"Відеокарта MSI PCI-Ex GeForce RTX 5060 Ti VENTUS 2X OC PLUS 16GB GDDR7 (128bit) (2617/28000) (HDMI, 3 x DisplayPort) (RTX 5060 Ti 16G VENTUS 2X OC PLUS)",24 709₴,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-5060-ti-16g-ventus-2x-oc-plus/p503978774/
"Відеокарта Palit PCI-Ex GeForce RTX 5070 GamingPro OC 12GB GDDR7 (192bit) (2572/28000) (HDMI, 3 x DisplayPort) (NE75070T19K9-GB2050A)",30 999₴,Є в наявності,https://hard.rozetka.com.ua/ua/palit-ne75070t19k9-gb2050a/p494802734/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 5070 Windforce OC 12GB GDDR7 (192bit) (28000) (HDMI, 3 x DisplayPort) (GV-N5070WF3OC-12GD)",31 999₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n5070wf3oc-12gd/p476638324/
"Відеокарта Sapphire PCI-Ex Radeon RX 9070 XT NITRO+ 16GB GDDR6 (256bit) (3060/20000) (2 x HDMI, 2 x DisplayPort) (11348-01-20G)",42 019₴,Є в наявності,https://hard.rozetka.com.ua/ua/sapphire-11348-01-20g/p498974514/
"Відеокарта Gigabyte PCI-Ex Radeon RX 9070 Gaming OC 16G 16GB GDDR6 (256bit) (20000) (2 x HDMI, 2 x DisplayPort) (GV-R9070GAMING OC-16GD)",32 999₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-r9070gaming-oc-16gd/p475696854/
"Відеокарта Gigabyte PCI-Ex Radeon RX 9070 XT Gaming OC 16G 16GB GDDR6 (256bit) (20000) (2 x HDMI, 2 x DisplayPort) (GV-R9070XTGAMING OC-16GD)",37 999₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-r9070xtgaming-oc-16gd/p475696804/
"Відеокарта Asus PCI-Ex Radeon RX 7600 Dual EVO OC Edition 8GB GDDR6 (128bit) (2715/18000) (HDMI, 3 x DisplayPort) (DUAL-RX7600-O8G-EVO)",12 499₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-dual-rx7600-o8g-evo/p456161019/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 4060 Gaming OC 8GB GDDR6 (128bit) (2550/17000) (2 x HDMI, 2 x DisplayPort) (GV-N4060GAMING OC-8GD)",15 999₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n4060gaming-oc-8gd/p385168818/
"Відеокарта Arktek PCI-Ex Radeon RX 580 8GB GDDR5 (256bit) (1244/8000) (HDMI, DisplayPort, DVI) (AKR580D5S8GH1)",5 399₴,Є в наявності,https://hard.rozetka.com.ua/ua/arktek-akr580d5s8gh1/p398460522/
"Відеокарта Asus PCI-Ex GeForce GT 730 2048MB GDDR5 (64bit) (902/5010) (VGA, DVI, HDMI) (GT730-SL-2GD5-BRK)",3 169₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus_gt730_sl_2gd5_brk/p7373119/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 5060 Ti WINDFORCE OC 16G 16GB GDDR7 (128bit) (2587/28000) (HDMI, 3 x DisplayPort) (GV-N506TWF2OC-16GD)",24 309₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n506twf2oc-16gd/p502583359/
